Part,Ward,Booth Address,Total,
1500001,999,"Govt Higher Primary School, Challahalli Village",786,
1500002,999,"Govt Higher Primary School, Room.No.1, Marasandra",1309,
1500003,999,"Govt Higher Primary School, Room.No.2, Marasandra",1536,
1500004,999,"Govt Higher Primary School, Nellukunte",434,
1500005,999,"Govt Lower, Primary School, Kadathanamale",453,
1500006,999,"Govt Lower, Primary School, Sriramanahalli",903,
1500007,999,"Govt Lower, Primary School, Haniyur",803,
1500008,999,Samudaya Bhavana Karlapura,685,
1500009,999,Govt Higher Primary School Kamakshipura,557,
1500010,999,"Grama Panchayathi Office, Arakere",757,
1500011,999,"Govt Lower Primary School, Byrapura",578,
1500012,999,"Govt Higher Primary School,Room No-1 Suradenpura",994,
1500013,999,"Govt Higher Primary School, Room No-2 Suradenpura",358,
1500014,999,"Govt Lower Primary School,Sadenahalli Layout",693,
1500015,999,"Govt Lower Primary School,Sadenahalli",612,
1500016,999,"Govt Lower Primary School, Sonnenahalli",421,
1500017,999,"Govt Higher Primary School, Byata Room No-1",729,
1500018,999,"Govt Higher Primary School, Byata Room No-2",502,
1500019,999,"Govt Higher Primary School, Kakolu Room No-1",677,
1500020,999,"Govt Higher Primary School, Kakolu Room-2",679,
1500021,999,"Govt Higher Primary School, Chokkanahalli",896,
1500022,999,"Govt Lower Primary School, Room.No.1,Addevishwanathapura",706,
1500023,999,"Govt Lower Primary School,Room.No.2, Addevishwanathapura",1017,
1500024,999,"Govt Higher Primary School, Room.No.1, Rajanukunte",1168,
1500025,999,"Govt Higher Primary School, Room.No-2 Rajanukunte",1173,
1500026,999,"Govt Higher Primary School, Room No-3 Rajanukunte",859,
1500027,999,"Govt Higher Primary School,Rajanukunte,Room No-4",864,
1500028,999,Samudaya Bhavana Addiganahalli,1091,
1500029,999,"Govt Lower Primary School, Addiganahalli Room No-2",870,
1500030,999,"Anganavadi Kendra, Addiganahalli",999,
1500031,999,"Govt Lower Primary School, Itagalpura",518,
1500032,999,"Govt Higher Primary School, Room.No.1, Dibburu",946,
1500033,999,"Govt Lower Primary School, Shyanubhoganahalli",814,
1500034,999,"Govt Lower Primary School, Linganahalli",548,
1500035,999,"Govt Lower Primary School, Seethakempanahalli",727,
1500036,999,"Govt Higher Primary School, Mathkuru",1255,
1500037,999,"Govt Lower Primary School, Madappanahalli",1009,
